target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1
C122996,1,,,,CNC(=O)C1CCCNC1,O=C(O)C1CCSc2ccccc21,CNC(=O)C1CCCN(C(=O)C2CCSc3ccccc32)C1,Amidation,,
C158897,1,,,,O=C(O)Cc1ccc(F)cc1,NC(=O)C1C2CCNCC21,NC(=O)C1C2CCN(C(=O)Cc3ccc(F)cc3)CC21,Amidation,,
C123011,1,,,,NC(=O)C1(O)CCCNC1,O=C(O)C1CCSc2ccccc21,NC(=O)C1(O)CCCN(C(=O)C2CCSc3ccccc32)C1,Amidation,,
C150509,1,,,,NC(=O)C1(N)CCCNC1,O=C(O)Cc1ccccn1,NC(=O)C1(NC(=O)Cc2ccccn2)CCCNC1,Amidation,,
C156826,1,,,,Nc1cccc(C(O)C(=O)O)c1,O=C1NCC2CNCC12,Nc1cccc(C(O)C(=O)N2CC3CNC(=O)C3C2)c1,Amidation,,
C150537,1,,,,NC(=O)C1(F)CCCNC1,O=C(O)Cc1ccccn1,NC(=O)C1(F)CCCN(C(=O)Cc2ccccn2)C1,Amidation,,
C125167,1,,,,NC(C(=O)O)c1ccccc1Cl,O=C1NC2CNCC1C2,NC(C(=O)N1CC2CC(C1)C(=O)N2)c1ccccc1Cl,Amidation,,
C156857,1,,,,Nc1cccc(C(O)C(=O)O)c1,NNC(=O)C1CCNC1,NNC(=O)C1CCN(C(=O)C(O)c2cccc(N)c2)C1,Amidation,,
C156858,1,,,,Nc1cccc(C(O)C(=O)O)c1,NNC(=O)C1CCNC1,Nc1cccc(C(O)C(=O)NNC(=O)C2CCNC2)c1,Amidation,,
C125179,1,,,,O=C(O)C(Cl)c1ccccc1,O=C1NCC2CCNCC12,O=C1NCC2CCN(C(=O)C(Cl)c3ccccc3)CC12,Amidation,,
C123060,1,,,,NC(=O)C1(N)CCCNC1,O=C(O)C1CCSc2ccccc21,NC(=O)C1(N)CCCN(C(=O)C2CCSc3ccccc32)C1,Amidation,,
